GlyTouCanAccession	KEGGAccession
G65799WV	G04016
G65825CX	G05494
G65832SQ	G00225
G65855MN	G00446
G65860IT	G11047
G65882DG	G09391
G65889KE	G11121
G65889KE	G12499
G65890UA	G10844
G65893EZ	G02229
G65982DP	G04137
G65984FE	G00468
G65996GC	G00003
G65996GC	G12381
G66037WR	G04505
G66086EX	G00291
G66086EX	G10523
G66131WK	G06748
G66162WI	G05618
G66168TG	G05594
G66184ZO	G02909
G66193EV	G06034
G66215DK	G07172
G66228VC	G09247
G66263GG	G09320
G66271TT	G01103
G66282NU	G10747
G66296ET	G09225
G66301VC	G06538
G66375VY	G04834
G66387RK	G02552
G66399CG	G11216
G66427ZQ	G00071
G66488GE	G04787
G66489LJ	G00336
G66512FS	G05112
G66554NB	G04570
G66650NK	G06792
G66655HQ	G04419
G66661ZY	G06348
G66665YI	G10725
G66691IW	G01169
G66723QO	G00053
G66741YQ	G00274
G66767PX	G04617
G66892DM	G01161
G66900FH	G06977
G66932MV	G01327
G66937TJ	G11022
G66986MB	G09273
G67046QM	G05671
G67053DJ	G07316
G67053LB	G06218
G67066JI	G05060
G67087ZJ	G11477
G67116TA	G08041
G67200RM	G02641
G67200RM	G12479
G67212WQ	G03330
G67220DU	G04958
G67314XY	G02071
G67326LW	G01667
G67328UY	G10439
G67342MA	G01089
G67362UI	G06347
G67410LQ	G04224
G67446RJ	G01214
G67447FX	G05793
G67474VT	G11611
G67529BO	G09437
G67536FA	G04594
G67574IL	G05284
G67608DN	G04057
G67610CQ	G06108
G67612NO	G04206
G67642SS	G03680
G67740CH	G05781
G67740GT	G03550
G67767BR	G04172
G67785RW	G05470
G67808LV	G07032
G67887EF	G12017
G67898UK	G02205
G67915MO	G00661
G67916HD	G11217
G67924MY	G05657
G67942CH	G11977
G67988RO	G00497
G67988RO	G10645
G68014YX	G07319
G68062BK	G01981
G68074FW	G12023
G68103UN	G01136
G68110IF	G00112
G68137PO	G00501
G68175NA	G04103
G68179GF	G05875
G68186WA	G12147
G68194UU	G04543
G68253RD	G01990
G68313WI	G07398
G68318SH	G00771
G68321OY	G06648
G68350IL	G00783
G68371HY	G07499
G68415EV	G04703
G68432TM	G07988
G68544GH	G00001
G68544GH	G00143
G68544GH	G12444
G68544GH	G12513
G68607SL	G01055
G68640EZ	G01264
G68651MF	G02768
G68668TB	G10680
G68668TB	G12036
G68668TB	G12081
G68679LW	G02763
G68714ZY	G09957
G68801RI	G06343
G68832LT	G02331
G68835PT	G05227
G68856EP	G12327
G68859AM	G09663
G68867HM	G04811
G68907ZA	G03980
G68909KV	G09100
G68931EB	G03154
G68983XG	G01905
G68996TE	G01894
G68999BA	G01512
G69015PK	G08162
G69030AU	G05923
G69044AJ	G01658
G69053FP	G08948
G69081WR	G03390
G69083KH	G04375
G69121YI	G04077
G69140HM	G05670
G69161BS	G01823
G69175BJ	G04973
G69176ZA	G12357
G69187MR	G04212
G69247ZX	G02553
G69277LC	G02213
G69360KJ	G00407
G69388BI	G11146
G69390GI	G11938
G69411IG	G10796
G69426KQ	G07605
G69462QO	G10338
G69480BN	G05837
G69485SE	G12008
G69508SI	G01853
G69666IP	G07626
G69715FB	G08435
G69725KG	G01064
G69726TU	G00945
G69742YU	G05455
G69780ZR	G05093
G69788BR	G01706
G69799LR	G05221
G69802ND	G07243
G69830QM	G07520
G69832VH	G07853
G69861RK	G08061
G69889NC	G07144
G69893KP	G00265
G69912LP	G10919
G69964CA	G02700
G69976JD	G03994
G69985ZX	G04423
G69987TD	G00862
G70023SA	G04120
G70072FZ	G03729
G70073SG	G00666
G70076VV	G04588
G70081QS	G11337
G70115XG	G00477
G70151NU	G00383
G70158KQ	G08021
G70194YY	G04010
G70213NR	G00992
G70236HL	G01421
G70265CT	G00101
G70308HL	G01104
G70323NX	G07788
G70382WT	G03987
G70405KO	G07027
G70444FA	G00378
G70494TJ	G03719
G70507DZ	G01437
G70511VE	G10960
G70515GS	G00338
G70565NH	G07468
G70568QI	G00552
G70582LE	G06715
G70590VH	G04842
G70593HA	G10982
G70647TI	G00064
G70681VG	G02194
G70714VS	G09157
G70800WO	G04129
G70803VN	G04471
G70846FG	G06431
G70851FQ	G04326
G70859XP	G05009
G70866LY	G06174
G70874WW	G00066
G70881GL	G04696
G70888IM	G06846
G70903NP	G10674
G70927FR	G03723
G70938LN	G05538
G70947EQ	G05703
G70958LU	G04198
G71013KY	G10778
G71025DD	G04324
G71025TJ	G07208
G71031GX	G08581
G71032KF	G03268
G71063DT	G06344
G71065BP	G10337
G71085CJ	G02835
G71094TJ	G05391
G71121NN	G00234
G71125UE	G04019
G71142DF	G10238
G71142DF	G10618
G71142DF	G12561
G71142DF	G13015
G71142DF	G13051
G71153ZE	G11944
G71230WH	G00106
G71247WG	G12633
G71300IN	G04772
G71320DE	G01809
G71338QU	G03094
G71360BB	G01882
G71373NI	G08295
G71394EM	G05805
G71409LF	G01900
G71416GU	G01936
G71431OY	G06138
G71451NN	G02771
G71462KX	G09557
G71485PH	G00043
G71504FS	G07987
G71520YY	G01995
G71579EA	G05169
G71602GO	G05119
G71610GM	G09234
G71611AN	G02560
G71626IG	G08386
G71659FD	G05253
G71668KZ	G01690
G71692DZ	G07627
G71703UN	G09702
G71714EQ	G05388
G71719NW	G07354
G71763JZ	G04699
G71782CJ	G01645
G71817IG	G10768
G71832QJ	G00641
G71871QF	G00950
G71960CZ	G02631
G71999UY	G02222
G72002FC	G00060
G72060BE	G00631
G72079JG	G00008
G72103RY	G10596
G72108VJ	G00696
G72131JM	G00327
G72180YS	G07396
G72199XR	G02948
G72214YD	G04678
G72260GO	G11445
G72287LC	G11260
G72304KR	G01944
G72348PK	G02789
G72353NN	G02235
G72356JA	G02188
G72356VO	G06009
G72369ZI	G04484
G72395MI	G00791
G72406BE	G02692
G72460OS	G02753
G72490CF	G01560
G72506RN	G11147
G72506RN	G12632
G72526IR	G05412
G72576LG	G01391
G72580QS	G01932
G72632JH	G01368
G72672CX	G01533
G72692DY	G13021
G72718TT	G10820
G72723RJ	G05307
G72725CZ	G01083
G72735TB	G11594
G72748AQ	G00734
G72758WN	G12922
G72806VZ	G05931
G72821WX	G10776
G72825VD	G03200
G72904OZ	G07623
G72905QH	G03957
G72914LC	G03254
G72952WX	G06341
G72954XC	G00321
G73051OD	G00890
G73076FS	G08280
G73108NW	G08995
G73257RC	G06191
G73271AZ	G04777
G73308YY	G04201
G73348SI	G01194
G73367DT	G04143
G73373AY	G04860
G73381RY	G00540
G73382HV	G11179
G73439VG	G03716
G73499UJ	G07777
G73517CY	G03857
G73578JC	G06573
G73578JC	G10628
G73578JC	G12246
G73582RP	G01982
G73599GW	G02426
G73660NF	G01614
G73683LQ	G01830
G73708UL	G12478
G73717AG	G12306
G73753UM	G09419
G73825BL	G11953
G73836ED	G06355
G73866ZM	G00251
G73913LV	G09289
G73954OI	G03078
G73971ME	G03456
G73976WL	G05664
G73991ZU	G00640
G74049SP	G06824
G74102VO	G05523
G74111MH	G02241
G74120DW	G10834
G74121RX	G00169
G74242PX	G07392
G74290AC	G00857
G74294TP	G03653
G74325TG	G00310
G74369SL	G02656
G74394BJ	G01119
G74491LU	G01704
G74531CR	G00616
G74537VZ	G03846
G74553FZ	G12193
G74617OA	G10143
G74621DY	G10504
G74621DY	G12462
G74642TI	G08426
G74654HX	G11785
G74656GM	G06621
G74665CH	G06231
G74668VC	G01040
G74673OI	G04529
G74709RD	G06256
G74716XL	G02715
G74758HW	G11440
G74780ZE	G03287
G74790FN	G08394
G74793LO	G11123
G74814JR	G11138
G74819JH	G05961
G74823CH	G02704
G74840NI	G10617
G74840NI	G12506
G74895VX	G05981
G74910NC	G04850
G74990OY	G10529
G75016TO	G06896
G75030WH	G04105
G75043SA	G08704
G75057NM	G03183
G75082OS	G01794
G75096PE	G08247
G75097MF	G02846
G75120WS	G10721
G75129FO	G10269
G75206XT	G01020
G75277CR	G05572
G75306VL	G01600
G75318VB	G04026
G75359HS	G12018
G75465YX	G03945
G75467WH	G04200
G75483SB	G02769
G75488YU	G04180
G75547TX	G04620
G75553PU	G07831
G75565BZ	G02911
G75568XR	G04762
G75584LU	G00776
G75586OT	G12280
G75599HG	G01173
G75601KW	G04398
G75630IP	G02228
G75661XS	G06459
G75687SF	G06429
G75705TH	G08142
G75734VP	G02735
G75762RH	G03188
G75789AR	G00258
G75789AR	G13014
G75824WJ	G06331
G75850OP	G10692
G75850OP	G11972
G75865YY	G00644
G75872ER	G02959
G75873HH	G05589
G75896QL	G01279
G75907MC	G03310
G75993IV	G04470
G76036GS	G00569
G76084WO	G09730
G76097GZ	G08732
G76104SB	G05545
G76118WO	G05763
G76136FD	G11009
G76200OU	G12262
G76241TN	G00490
G76245RV	G05851
G76297JC	G09236
G76355TG	G00034
G76389HC	G04606
G76389HC	G04896
G76429IR	G10357
G76429IR	G12624
G76430NK	G04279
G76431SN	G02021
G76439VL	G00089
G76467YN	G06788
G76478FT	G10708
G76481US	G01958
G76489QB	G04597
G76548SO	G10268
G76595RI	G01480
G76603DR	G06284
G76680HJ	G00438
G76680HJ	G11713
G76684IW	G05111
G76705RJ	G05495
G76802PQ	G07151
G76807JB	G10765
G76823GQ	G00629
G76844PH	G02057
G76873FO	G04472
G76878IQ	G08219
G76924RW	G01665
G76931AL	G05692
G76945TE	G03991
G76997PL	G06225
G77026KL	G06027
G77137FD	G01954
G77160RX	G07477
G77165VD	G04677
G77207RR	G11858
G77208XM	G01197
G77218JF	G07011
G77235BQ	G00174
G77252PU	G10702
G77285LE	G00069
G77326OU	G06152
G77339RV	G03843
G77372RE	G12634
G77384RA	G10754
G77384RA	G11299
G77384RA	G11301
G77419BI	G09556
G77426UJ	G04448
G77442MO	G09436
G77451BX	G02939
G77479VH	G00954
G77503IE	G06605
G77553BJ	G04334
G77554ZE	G00520
G77593JU	G00052
G77608BK	G12094
G77608VQ	G03862
G77632HJ	G00981
G77653XA	G11697
G77653XA	G12125
G77659VW	G12309
G77671SG	G06111
G77750BW	G06078
G77788QV	G07488
G77824XV	G00405
G77901GR	G01232
G77915WT	G11519
G77922WZ	G02821
G77938WM	G03238
G77971RI	G09195
G77974XY	G00022
G77993GH	G06103
G78003VE	G02180
G78011OA	G04670
G78030KJ	G01420
G78059CC	G00017
G78059CC	G11970
G78074HX	G00403
G78098IA	G00155
G78108ZM	G00902
G78151IM	G00897
G78152IS	G06184
G78173WX	G03902
G78205EV	G02819
G78242EN	G10160
G78242EN	G10181
G78251OV	G05771
G78260AJ	G00406
G78276SQ	G10712
G78317QO	G08839
G78342SP	G05306
G78367BV	G09558
G78369LH	G09618
G78391CU	G04127
G78413IP	G07050
G78436BB	G10607
G78509IY	G12026
G78513XO	G02508
G78598WI	G02290
G78617GO	G05491
G78681QL	G00620
G78749MK	G04679
G78759HZ	G07624
G78800HY	G00457
G78818SP	G00120
G78842DK	G08814
G78882XO	G08771
G78885JL	G09918
G78908IP	G06993
G78918BK	G11590
G78956IC	G10957
G79029KQ	G02050
G79042KJ	G05940
G79137TM	G05145
G79168XT	G08185
G79172UW	G06039
G79198HM	G02232
G79231KU	G12334
G79242MX	G01417
G79249GP	G05728
G79298QI	G04157
G79333MY	G12484
G79351ZW	G05327
G79363XM	G06132
G79368CP	G11946
G79375ZL	G07299
G79389NT	G00109
G79389NT	G10351
G79404OF	G11987
G79414JH	G03162
G79475GW	G01250
G79499QH	G05897
G79518SC	G11320
G79536OW	G00047
G79537QV	G07616
G79573BU	G06254
G79605VZ	G02564
G79646HD	G03852
G79702QE	G03834
G79729FH	G09867
G79776GW	G03708
G79798AT	G06755
G79809MM	G10757
G79810PX	G12722
G79874WM	G05669
G79896GR	G08614
G79915IB	G05257
G79920MY	G00930
G79924QN	G04294
G79930NT	G00924
G79950YS	G04941
G79954CG	G04444
G79958YT	G00107
G79973CM	G11855
G79989ST	G07315
G79996DQ	G04373
G80016QG	G07618
G80062GG	G00095
G80085KS	G04366
G80098ET	G11920
G80098LK	G07371
G80130IB	G00761
G80147HT	G00355
G80155SP	G11656
G80161SF	G00496
G80162ZS	G02551
G80163ME	G04203
G80176YK	G04840
G80193TN	G10437
G80200DN	G05226
G80218VL	G11293
G80218VL	G11294
G80243CR	G04639
G80268ZC	G03742
G80298HR	G03718
G80310IL	G01557
G80393PG	G10831
G80398JV	G09539
G80494PJ	G06765
G80498RN	G00864
G80513FH	G00471
G80544IB	G02875
G80554WA	G03005
G80587PF	G12386
G80600IS	G06201
G80637VS	G04659
G80654ZK	G05457
G80673RX	G07894
G80699WY	G01079
G80812QO	G09933
G80829RZ	G00794
G80858MF	G00016
G80908GL	G05191
G80926OA	G00287
G80966KZ	G10676
G80966KZ	G12066
G80966KZ	G12080
G81009UW	G01418
G81013EK	G00454
G81096RM	G11847
G81114MS	G06338
G81121OC	G00789
G81147VU	G05056
G81149TB	G02952
G81188FE	G02389
G81216DQ	G06620
G81221QB	G12587
G81229DT	G00986
G81270RB	G12326
G81294ZY	G03782
G81315DD	G10891
G81328BD	G00200
G81337OK	G02102
G81378YR	G05167
G81408RV	G02859
G81430ON	G04248
G81439BR	G04918
G81466NG	G06546
G81505ER	G04447
G81534KB	G07451
G81561UL	G06339
G81596CU	G06699
G81623GR	G05574
G81697WS	G06897
G81748GB	G02341
G81788HU	G05956
G81793BO	G01433
G81806PG	G06358
G81873QA	G01802
G81879LT	G05255
G81908DG	G08266
G81915YU	G02722
G81928IQ	G11208
G81971FM	G00257
G81982NW	G04888
G81983KG	G00126
G82026ML	G05946
G82038RE	G00326
G82051XL	G12442
G82106UN	G01153
G82142DS	G11614
G82151AD	G00996
G82169SQ	G04952
G82195FD	G03698
G82202JN	G04508
G82207VX	G01329
G82252QI	G10707
G82286VD	G07607
G82303RP	G04774
G82306VJ	G09555
G82311QG	G06741
G82348BZ	G10661
G82393PY	G11751
G82400TF	G10059
G82405LP	G12206
G82455WQ	G03409
G82526KT	G07493
G82529OA	G05038
G82572FN	G03891
G82591EC	G08209
G82638RK	G05118
G82664ZC	G02217
G82695BC	G02827
G82704VJ	G05673
G82724NW	G02688
G82725FS	G03405
G82727OW	G04849
G82730QA	G05699
G82739ZR	G00943
G82746VF	G03047
G82748UB	G01698
G82761BO	G02201
G82779CI	G00946
G82801WV	G06345
G82829MF	G05122
G82831RR	G04715
G82845MH	G03772
G82858KU	G00042
G82864KM	G04652
G82868SO	G03948
G82893ZY	G09729
G82942ZJ	G11070
G82945RR	G05062
G82950HY	G00306
G83001FQ	G05486
G83042PP	G08998
G83078TI	G06374
G83082ZQ	G06666
G83088MZ	G03457
G83089UA	G04148
G83099NF	G08695
G83104JJ	G05739
G83106XM	G01333
G83120FP	G12229
G83161QT	G00232
G83161QT	G12043
G83161QT	G12082
G83169UB	G03357
G83205DW	G01777
G83205TN	G01875
G83218BR	G07890
G83234UJ	G01629
G83236NT	G09384
G83241PZ	G02783
G83312UD	G02905
G83404RQ	G11828
G83417GO	G03859
G83423JP	G04262
G83425EJ	G04438
G83455QZ	G01337
G83476KH	G11181
G83488LL	G07712
G83512RK	G05177
G83513YI	G00061
G83540SE	G06089
G83582BK	G11014
G83600PQ	G00949
G83621YS	G01381
G83633HB	G00736
G83638RK	G06861
G83642FZ	G02519
G83644CC	G02739
G83659OC	G06228
G83712UA	G04903
G83717YJ	G13029
G83719UD	G08584
G83737UD	G00611
G83761QN	G00277
G83779VD	G02442
G83781TR	G00582
G83829JQ	G02949
G83916HL	G00557
G83916HL	G12243
G83916HL	G12795
G83937KQ	G03397
G83948CA	G05844
G83957LU	G05366
G83958MI	G00605
G84031ZX	G10352
G84034JH	G00067
G84064AY	G04530
G84083SA	G12050
G84144JO	G04217
G84153KU	G02691
G84167AV	G03907
G84186YN	G06353
G84224TW	G00092
G84228OY	G01461
G84252SD	G10025
G84260SO	G04496
G84264KQ	G01114
G84275GF	G08947
G84287MH	G02720
G84325BE	G02458
G84329MX	G03908
G84350SH	G01670
G84376FR	G10745
G84467IZ	G10700
G84467IZ	G11904
G84501YL	G05566
G84571RH	G07617
G84643MT	G07798
G84645YP	G09172
G84674JQ	G02742
G84712FX	G03684
G84753IL	G02716
G84787BT	G07598
G84792SV	G04456
G84808RB	G04704
G84818UM	G06675
G84852GW	G10742
G84880VC	G01734
G84891DZ	G00453
G84908OR	G03657
G84969LS	G06819
G84981PB	G03656
G84996EP	G05496
G85084IW	G11495
G85101OA	G04596
G85243FP	G08395
G85244OT	G09400
G85278ER	G06069
G85284LO	G04917
G85302NF	G05557
G85317UE	G07473
G85323FO	G06924
G85366AQ	G05121
G85378DV	G00377
G85393KI	G05072
G85424PW	G03382
G85492ZI	G10594
G85542KD	G11000
G85545IG	G01090
G85578VB	G06576
G85607DC	G00364
G85608AG	G00208
G85652EW	G04017
G85661BQ	G02576
G85714GY	G00543
G85716US	G03577
G85721WE	G03034
G85734JO	G07733
G85767HW	G10777
G85767HW	G11961
G85828UH	G06702
G85836ZE	G01566
G85838ZJ	G04199
G85856KC	G13026
G85890AG	G03071
G85895SP	G05032
G85923WX	G12423
G85972OZ	G11503
G86053IC	G00432
G86082YL	G06644
G86094NY	G02950
G86110YJ	G00878
G86123DJ	G00417
G86143FV	G00987
G86191DF	G11919
G86199GK	G00592
G86213NZ	G06975
G86236QS	G00921
G86237WM	G09376
G86240AI	G03516
G86258PP	G03296
G86258PP	G07306
G86270PI	G08018
G86299UP	G03506
G86357DX	G10803
G86372GF	G05598
G86385RC	G00272
G86386QT	G00412
G86388AX	G01408
G86419OL	G11036
G86443CJ	G03324
G86445DK	G00077
G86445KR	G12667
G86487TG	G05139
G86495BQ	G04669
G86504RY	G02756
G86522OD	G00451
G86535WT	G00229
G86633LD	G00544
G86633LD	G07512
G86640EE	G00868
G86700TF	G05712
G86702JK	G09115
G86712SX	G02823
G86736BF	G03082
G86750HK	G01404
G86761WD	G05019
G86768IE	G07198
G86781KH	G03874
G86792SU	G01426
G86801QH	G04076
G86851RC	G10626
G86912FM	G11336
G86928UZ	G04307
G86950QP	G01360
G86958EY	G02423
G87030ZZ	G11176
G87038UU	G05876
G87063FS	G00717
G87067LQ	G10387
G87091WI	G00305
G87107PF	G02711
G87115JQ	G07898
G87119TX	G08870
G87124HX	G06336
G87164WU	G00079
G87174VF	G02550
G87206FM	G02603
G87251UV	G09032
G87251UV	G11091
G87273JO	G04253
G87299FY	G07838
G87308QC	G06401
G87315SO	G01301
G87377KZ	G02652
G87433DT	G06022
G87433EC	G09429
G87485AO	G04740
G87517GL	G01449
G87564QI	G03984
G87577UZ	G12144
G87685WT	G00816
G87695KR	G00774
G87727XV	G01380
G87767GP	G02448
G87773EB	G02855
G87777GG	G02251
G87784HD	G11910
G87813TS	G10007
G87854BA	G03964
G87860OU	G00333
G87867IZ	G00737
G87877ES	G00156
G87901MO	G09380
G87908HE	G04155
G87996EB	G11588
G88009HX	G11988
G88030QD	G05826
G88068QT	G11954
G88089UV	G04271
G88099FG	G06486
G88105MO	G02457
G88122BX	G11534
G88122VF	G10211
G88122ZQ	G03738
G88171EW	G05916
G88192MM	G04919
G88194BN	G06630
G88198QR	G04395
G88216WD	G03081
G88227QI	G01735
G88242BL	G02708
G88305GR	G02381
G88313DY	G10799
G88321DT	G04122
G88334IC	G10810
G88356HA	G01896
G88357PE	G07868
G88380UG	G13030
G88382QE	G01238
G88393MK	G00285
G88421PE	G04528
G88469YE	G00309
G88495BI	G00207
G88500SX	G03702
G88530VK	G05536
G88533QR	G02321
G88573VH	G04567
G88586HW	G05986
G88675ZE	G00850
G88692PI	G06725
G88727SH	G11380
G88734GE	G02666
G88749TS	G03795
G88784RE	G06028
G88784SV	G05476
G88822AB	G04999
G88827CD	G00352
G88828CK	G02923
G88876JQ	G00388
G88884NJ	G04937
G88998CC	G04000
G89008DB	G05319
G89027OP	G04277
G89032VF	G03273
G89034YM	G02876
G89058HG	G05565
G89058RF	G04195
G89090WX	G03224
G89099NM	G04576
G89104MS	G11701
G89129AU	G06946
G89143RS	G07166
G89230YO	G05663
G89261EQ	G03026
G89325VN	G03794
G89364NG	G04303
G89368FV	G04786
G89393WA	G04377
G89398MH	G01930
G89459KY	G08492
G89466VC	G07197
G89498BT	G06321
G89501QI	G04136
G89518YP	G02962
G89532GI	G04790
G89547ME	G10283
G89570VS	G12139
G89575QC	G06750
G89623FN	G02562
G89659QV	G00056
G89682CT	G06454
G89736UW	G04869
G89816MU	G05973
G89864BN	G10695
G89877QI	G10726
G89877QI	G11877
G89941FZ	G11453
G89946SW	G05435
G89993FE	G11052
G90001LE	G08766
G90033AN	G03956
G90037CR	G09937
G90054TK	G04686
G90101BB	G07175
G90107JW	G00977
G90142YY	G00549
G90146ME	G08438
G90255XH	G09349
G90300MX	G06114
G90334ZP	G08604
G90348RI	G10719
G90350EB	G02964
G90361FA	G06572
G90377OF	G00350
G90387AM	G00242
G90402OU	G04535
G90435TI	G04247
G90439ZM	G02286
G90562PB	G00123
G90634OE	G08767
G90672BM	G03916
G90723FE	G12019
G90725ZC	G02741
G90746ZG	G07029
G90766ZI	G04322
G90784AP	G04369
G90805IW	G05928
G90825UM	G10699
G90827ZO	G08253
G90844AC	G01428
G90852CC	G05809
G90889KG	G00206
G90895OS	G07057
G90916QL	G01356
G90973JX	G06853
G90975KR	G05406
G90987HD	G04551
G90998OM	G02582
G91023GB	G10789
G91035MG	G08743
G91073KG	G05639
G91083SV	G01311
G91083SV	G11021
G91121ZF	G11889
G91135NG	G10132
G91181WA	G06414
G91182AF	G05633
G91197EY	G06239
G91227PM	G11561
G91236EO	G09169
G91237TK	G00108
G91247WI	G01341
G91260HM	G07556
G91293CP	G12435
G91312MX	G03926
G91326YS	G05049
G91326YS	G12162
G91326YS	G12794
G91365ZQ	G11408
G91365ZQ	G11952
G91388QD	G05335
G91404LJ	G00068
G91413ZX	G10732
G91452ZH	G11197
G91462QM	G09226
G91484JV	G07352
G91499UV	G06629
G91532KA	G00166
G91560NT	G00090
G91568QH	G12281
G91591ER	G04629
G91599FN	G05312
G91649BT	G00105
G91680CG	G06682
G91704UR	G10819
G91706AL	G09560
G91782UZ	G03659
G91810SD	G08797
G91827TX	G04614
G91867WQ	G01168
G91904RU	G00828
G91905FJ	G10962
G92039VR	G00941
G92045DI	G09554
G92047WH	G08609
G92061JJ	G04109
G92117KA	G04386
G92119ST	G08175
G92147QP	G04407
G92175CL	G00168
G92175OV	G05267
G92177ZW	G11094
G92177ZW	G11612
G92186BR	G11874
G92219PK	G04664
G92237PN	G10907
G92241FG	G03931
G92257YN	G05420
G92261CS	G06378
G92296LB	G04800
G92318PO	G03187
G92320FG	G02799
G92329HK	G06773
G92358PV	G05452
G92429IK	G02705
G92473LQ	G07694
G92500KM	G05762
G92536LD	G00296
G92564XJ	G07629
G92567CF	G10933
G92574YO	G10974
G92575UZ	G00445
G92594VG	G00875
G92612ZM	G01005
G92639RB	G10178
G92649QH	G09564
G92679KQ	G07738
G92697ZU	G06168
G92786VA	G03265
G92790YQ	G07017
G92808JY	G06998
G92809ZU	G06600
G92848QA	G02263
G92920MA	G06075
G92965OP	G02770
G92996IT	G08989
G93029JO	G10262
G93042DD	G07643
G93060PS	G04816
G93148GC	G05512
G93164KQ	G12054
G93193OD	G11894
G93198UO	G04282
G93206NM	G12219
G93263XO	G00526
G93265RE	G00572
G93279TH	G02211
G93309ZC	G11177
G93446UA	G02673
G93468NI	G12164
G93470LV	G04827
G93500PH	G10684
G93516TF	G10346
G93518FF	G03813
G93520MA	G01444
G93520MA	G11437
G93523MF	G01717
G93523MF	G12377
G93559JC	G06058
G93575MM	G01831
G93576WX	G07976
G93583AH	G00705
G93624ZP	G11730
G93638BI	G00394
G93646CO	G05541
G93686CT	G00531
G93694YU	G00539
G93737LO	G07046
G93746CY	G02829
G93758YP	G06333
G93788SW	G00447
G93802WF	G09713
G93839ET	G04579
G93861MS	G12217
G93869JB	G00475
G93871LV	G05348
G93899AU	G03954
G93906VI	G04338
G93922AL	G11895
G93931KM	G08914
G94008TO	G06303
G94013XT	G00718
G94019IV	G06362
G94097TZ	G12225
G94106MV	G10659
G94116NC	G04319
G94156YI	G02957
G94161VQ	G11589
G94231FZ	G09011
G94234FX	G11586
G94241OT	G11875
G94258SI	G06136
G94278FQ	G04624
G94379JQ	G03108
G94396BB	G01781
G94407CM	G04064
G94423NC	G04025
G94431LX	G12890
G94435QH	G11128
G94445GS	G12342
G94480CC	G06577
G94490EL	G12015
G94498MI	G10271
G94502LK	G06270
G94531EZ	G10969
G94542HF	G02644
G94566ZN	G02813
G94610QX	G03821
G94626AX	G03906
G94626GC	G10650
G94705OR	G01662
G94733WZ	G03844
G94768DB	G10886
G94809SW	G11901
G94888UJ	G12105
G94922WW	G00528
G94923PG	G00144
G94923PG	G00145
G94923PG	G11174
G94923PG	G12396
G94923PG	G12803
G94925DI	G06717
G94926TV	G02718
G94946LG	G04690
G94952MX	G00830
G95000GB	G06112
G95014LS	G02912
G95101QA	G06690
G95109CV	G04592
G95151JF	G04140
G95185OU	G00238
G95186HE	G02891
G95222PD	G04215
G95223JW	G00525
G95227SJ	G01829
G95306YW	G02428
G95310NT	G01911
G95333ZG	G05696
G95334YI	G01801
G95336MK	G01855
G95341UA	G01077
G95390AP	G01271
G95412SS	G01137
G95420RF	G02869
G95438XT	G01268
G95440SV	G06350
G95483LL	G07364
G95490LA	G03658
G95493MF	G04613
G95577EQ	G06427
G95589FK	G02026
G95589TE	G07718
G95617FJ	G11915
G95618BP	G06124
G95639RD	G02662
G95715VQ	G01290
G95782RB	G02220
G95786NX	G12116
G95811XD	G00657
G95894VW	G11089
G95910WJ	G03704
G95913KV	G02601
G95952ST	G03790
G95954OW	G05528
G95956WE	G11011
G95969MO	G05047
G95994EE	G03850
G96004HC	G03981
G96010OZ	G03988
G96081GH	G06317
G96088RV	G06664
G96091LW	G01814
G96122UB	G04235
G96175KT	G12014
G96214EI	G04154
G96260GC	G04233
G96283OE	G00314
G96349RY	G01902
G96350WP	G03103
G96401FK	G00063
G96409DQ	G09094
G96428WC	G06628
G96447DS	G03481
G96463EY	G00566
G96504YE	G02163
G96538JO	G00054
G96558GF	G08063
G96596OC	G10289
G96598ID	G02315
G96648KQ	G09354
G96651PA	G09025
G96652IJ	G06580
G96679AF	G10525
G96691OS	G01999
G96696UJ	G02497
G96709CX	G01145
G96777AX	G04563
G96794ZC	G03701
G96823NW	G02427
G96834JC	G01167
G96851HL	G08019
G96852FA	G01915
G96874XX	G01071
G96881BQ	G12557
G96881BQ	G13052
G96916QO	G01685
G96921ZU	G01403
G96932XT	G04066
G96966LA	G06326
G96991NM	G02695
G97013VN	G00838
G97023FS	G00606
G97051EO	G00465
G97077OZ	G01455
G97083VO	G11527
G97109LT	G02764
G97130PD	G02207
G97163JS	G04708
G97185IQ	G04584
G97198SO	G01636
G97212ZE	G04259
G97222OW	G10159
G97222TN	G06626
G97223RX	G09120
G97224RI	G02604
G97234ZU	G03745
G97286VY	G05336
G97340QI	G08333
G97341KV	G05859
G97345NY	G10899
G97352VJ	G02193
G97423PY	G10874
G97452SL	G04568
G97455PT	G01813
G97485LN	G07201
G97503JI	G02060
G97523ON	G11860
G97526EY	G02075
G97531BE	G06564
G97536OM	G00430
G97547QJ	G00241
G97569KL	G00839
G97575FW	G02203
G97584VW	G09375
G97585KM	G04645
G97586IF	G07751
G97612UN	G12274
G97644GG	G02985
G97686QU	G02850
G97802SN	G05906
G97862VK	G00423
G97894OW	G01687
G97917EY	G05286
G97932OH	G00181
G97944IJ	G02579
G97953NC	G00335
G97970WP	G04095
G97975GF	G04569
G97985TL	G02053
G97996SP	G04086
G98003WW	G06485
G98041GK	G04450
G98044DT	G08186
G98048XD	G03940
G98052MQ	G01235
G98073MH	G03937
G98095WS	G07229
G98140IX	G10762
G98173LG	G00623
